Place,Club,City,Medal,Year
2,MOJE BERMUDY STAL GorzówGOR,Gorzow,Silver,2022
3,ZIELONA-ENERGIA.COM W?ÓKNIARZ Cz?stochowaCZE,Czestochowa,Brown,2022
4,FOR NATURE SOLUTIONS APATOR Toru?TOR,Torun,,2022
5,BETARD SPARTA Wroc?aw (M)WRO (M),Wroclaw,,2022
6,FOGO UNIA LesznoLES,Leszno,,2022
7,ZOOLESZCZ GKM Grudzi?dzGRU,Grudziadz,,2022
8,ARGED MALESA Ostrów Wlkp. (B)OST (B),Ostrow Wielkopolski,Relegated,2022
1,PLATINUM MOTOR Lublin (M)LUB (M),Lublin,Gold,2023
2,BETARD SPARTA Wroc?awWRO,Wroclaw,Silver,2023
3,FOR NATURE SOLUTIONS KS APATOR Toru?TOR,Torun,Brown,2023
4,TAURON W?ÓKNIARZ Cz?stochowaCZE,Czestochowa,,2023
5,EBUT.PL STAL GorzówGOR,Gorzow,,2023
6,FOGO UNIA LesznoLES,Leszno,,2023
7,ZOOLESZCZ GKM Grudzi?dzGRU,Grudziadz,,2023
8,CELLFAST WILKI Krosno (B)KRO (B),Krosno,Relegated,2023
1,ORLEN OIL MOTOR Lublin (M)LUB (M),Lublin,Gold,2024
2,BETARD SPARTA Wroc?awWRO,Wroclaw,Silver,2024
3,KS APATOR Toru?TOR,Torun,Brown,2024
4,EBUT.PL STAL GorzówGOR,Gorzow,,2024
5,ZOOLESZCZ GKM Grudzi?dzGRU,Grudziadz,,2024
6,NOVYHOTEL FALUBAZ Zielona Góra (B)ZIE (B),Zielona Gora,,2024
7,KRONO-PLAST W?ÓKNIARZ Cz?stochowaCZE,Czestochowa,,2024
8,FOGO UNIA LesznoLES,Leszno,Relegated,2024
