ID,Rider,Team,Kls,Me,Scr,Bon,Sum,St,Avg,I,II,III,IV,D,T,M,W,U,Year
13,Piotr Pawlicki,LES,Tak,15,133,10,143,70,2.043,30,12,19,9,0,0,0,0,0,2018
10,Piotr Pawlicki,LES,Tak,18,184,8,192,90,2.133,42,21,16,8,2,0,0,1,0,2019
12,Piotr Pawlicki,LES,Tak,18,160,10,170,85,2,34,21,16,12,0,1,0,1,0,2020
27,Piotr Pawlicki,LES,Tak,18,135,5,140,84,1.667,23,25,16,15,1,2,0,2,0,2021
21,Piotr Pawlicki,LES,Tak,16,103,8,111,61,1.82,17,16,20,6,0,0,0,2,0,2022
27,Piotr Pawlicki,WRO,Tak,19,134,14,148,87,1.701,20,24,26,11,0,2,0,4,0,2023
28,Piotr Pawlicki,ZIE,Tak,16,130,4,134,80,1.675,22,22,20,9,0,1,0,4,2,2024
14,Piotr Protasiewicz,ZIE,Tak,16,163,8,171,85,2.012,28,32,15,4,3,0,1,2,0,2007
22,Piotr Protasiewicz,ZIE,Tak,20,179,19,198,107,1.85,28,31,33,10,2,1,0,2,0,2008
8,Piotr Protasiewicz,ZIE,Tak,20,179,31,210,95,2.211,27,42,14,6,1,1,1,3,0,2009
15,Piotr Protasiewicz,ZIE,Tak,20,173,12,185,99,1.869,25,37,24,6,3,0,0,3,1,2010
6,Piotr Protasiewicz,ZIE,Tak,20,228,8,236,104,2.269,51,30,15,3,4,1,0,0,0,2011
15,Piotr Protasiewicz,ZIE,Tak,22,211,17,228,114,2,36,38,27,1,5,1,0,6,0,2012
15,Piotr Protasiewicz,ZIE,Tak,21,200,14,214,104,2.058,38,33,20,6,3,1,0,3,0,2013
14,Piotr Protasiewicz,ZIE,Tak,16,149,9,158,76,2.079,32,19,15,5,2,0,0,2,1,2014
5,Piotr Protasiewicz,ZIE,Tak,12,142,7,149,65,2.292,30,22,8,1,1,0,0,3,0,2015
8,Piotr Protasiewicz,ZIE,Tak,18,191,17,208,97,2.144,36,32,19,6,3,0,0,1,0,2016
15,Piotr Protasiewicz,ZIE,Tak,18,164,16,180,90,2,28,29,22,9,0,0,0,1,1,2017
33,Piotr Protasiewicz,ZIE,Tak,14,89,9,98,63,1.556,11,19,18,12,1,0,0,1,1,2018
35,Piotr Protasiewicz,ZIE,Tak,18,114,13,127,84,1.512,14,21,30,16,0,0,0,2,1,2019
25,Piotr Protasiewicz,ZIE,Tak,18,137,16,153,86,1.779,19,30,20,15,0,0,0,1,1,2020
34,Piotr Protasiewicz,ZIE,Tak,14,95,10,105,66,1.591,11,17,28,10,0,0,0,0,0,2021
59,Przemys?awLiszka,WRO,Nie,7,10,3,13,19,0.684,1,1,5,11,0,0,0,1,0,2018
51,Przemys?awLiszka,WRO,Tak,16,39,11,50,46,1.087,2,10,13,21,0,0,0,0,0,2019
56,Przemys?awLiszka,WRO,Nie,13,15,4,19,23,0.826,1,5,2,14,0,0,0,0,1,2020
48,Przemys?awLiszka,WRO,Tak,18,55,8,63,55,1.145,8,4,23,20,0,0,0,0,0,2021
29,Przemyslaw Pawlicki,LES,Nie,5,31,3,34,20,1.7,7,2,6,4,0,0,0,1,0,2008
61,Przemyslaw Pawlicki,LES,Tak,12,37,2,39,45,0.867,8,3,7,24,2,0,0,1,0,2009
24,Przemyslaw Pawlicki,GOR,Tak,13,95,18,113,66,1.712,17,13,18,12,1,1,0,4,0,2010
22,Przemyslaw Pawlicki,LES,Tak,18,170,18,188,97,1.938,25,38,19,10,2,2,0,1,0,2012
23,Przemyslaw Pawlicki,LES,Tak,17,147,9,156,81,1.926,23,32,14,11,1,0,0,0,0,2013
36,Przemyslaw Pawlicki,LES,Tak,16,102,10,112,70,1.6,16,19,16,15,1,1,0,2,0,2014
28,Przemyslaw Pawlicki,LES,Tak,18,119,21,140,83,1.687,16,25,21,17,2,0,0,2,0,2015
24,Przemyslaw Pawlicki,GOR,Tak,18,124,19,143,81,1.765,19,21,25,15,0,0,0,0,1,2016
33,Przemyslaw Pawlicki,GOR,Tak,18,120,16,136,83,1.639,14,25,28,9,0,0,0,6,1,2017
20,Przemyslaw Pawlicki,GRU,Tak,14,132,9,141,77,1.831,16,35,14,10,0,0,0,2,0,2018
20,Przemyslaw Pawlicki,GRU,Tak,14,109,10,119,66,1.803,18,17,21,7,2,0,0,1,0,2019
54,Przemyslaw Pawlicki,GRU,Tak,13,35,7,42,41,1.024,2,5,19,12,1,1,0,0,1,2020
30,Przemyslaw Pawlicki,GRU,Tak,14,107,9,116,71,1.634,14,23,19,11,1,0,0,3,0,2021
29,Przemyslaw Pawlicki,GRU,Tak,14,111,13,124,78,1.59,16,20,23,17,0,0,0,2,0,2022
29,Przemyslaw Pawlicki,ZIE,Tak,16,127,9,136,82,1.659,19,25,20,12,2,0,0,4,0,2024
19,Rafa?Dobrucki,ZIE,Tak,20,109,10,119,64,1.859,19,21,10,7,6,0,0,1,0,2008
12,Rafa?Dobrucki,ZIE,Tak,20,189,15,204,99,2.061,40,26,17,8,5,2,0,1,0,2009
19,Rafa?Dobrucki,ZIE,Tak,20,151,17,168,94,1.787,25,25,26,14,2,1,0,1,0,2010
18,Rafa?Dobrucki,ZIE,Nie,10,41,8,49,26,1.885,7,6,8,3,1,0,0,0,1,2011
56,Rafa?Karczmarz,GOR,Nie,1,2,1,3,3,1,0,1,0,1,0,0,1,0,0,2016
38,Rafa?Karczmarz,GOR,Tak,17,69,16,85,56,1.518,6,17,17,12,1,1,0,2,0,2017
39,Rafa?Karczmarz,GOR,Tak,14,50,12,62,45,1.378,4,14,10,16,0,0,0,1,0,2018
52,Rafa?Karczmarz,GOR,Tak,14,58,7,65,61,1.066,10,8,12,30,0,0,0,0,1,2019
51,Rafa?Karczmarz,GOR,Tak,17,72,2,74,67,1.104,13,10,13,30,0,0,0,1,0,2020
52,Rafa?Karczmarz,GOR,Tak,18,36,6,42,48,0.875,2,7,16,22,0,1,0,0,0,2021
92,Rafa?Malczewski,CZE,Nie,4,4,0,4,13,0.308,0,0,4,6,2,0,1,0,0,2012
89,Rafa?Malczewski,CZE,Nie,3,3,1,4,9,0.444,0,0,3,6,0,0,0,0,0,2013
69,Rafa?Malczewski,CZE,Nie,8,14,1,15,24,0.625,2,1,6,12,1,0,0,2,0,2014
30,Rafa?Okoniewski,BYD,Tak,15,116,12,128,78,1.641,17,22,21,12,4,2,0,0,0,2007
55,Rafa?Okoniewski,GOR,Nie,5,16,2,18,17,1.059,1,4,5,6,1,0,0,0,0,2009
24,Rafa?Okoniewski,RZE,Tak,16,104,9,113,66,1.712,19,15,17,13,1,0,0,1,0,2011
